asin,title,imgUrl,productURL,stars,reviews,price,isBestSeller,boughtInLastMonth,categoryName,kMeansRecommendation,kMeansEvaluation,cbfRecommendation,hierarchicalRecommendation,kMeansReason,cbfEvaluation,cbfReason,hierarchicalEvaluation,hierarchicalReason
B0BPD1CKMV,XKYDYF Mens 3D Print t-shirts Husky Man'S T-Shirt Dog Jungle Camouflage Duck 3D Print Fashion Polyester Summer Ultra-Thin Fabric Casual Cool T-Shirt,https://m.media-amazon.com/images/I/51JEXc4LZ0L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BPD1CKMV,0.0,0,19.66,False,0,Sports & Outdoors,CHANYI Mens 3D Print t-shirts Summer Top Fashion Print Lion Tiger Wolf T Shirt Men/Women Animal 3D T Shirt Casual Hip Hop Tee Cool Mens Clothing,1.0,CHANYI Mens 3D Print t-shirts Summer Top Fashion Print Lion Tiger Wolf T Shirt Men/Women Animal 3D T Shirt Casual Hip Hop Tee Cool Mens Clothing,Mens Hawaiian Shirt 3D Print Casual Button Down Beach Holiday Aloha Short Sleeve Shirt,"The customer may accept the offer because the suggested product also falls under the category of 3D print t-shirts, which indicates a similarity in style and trend. Additionally, the customer may be attracted to the animal print designs on the suggested product, especially if they have an interest in wildlife or a fascination with animal-themed clothing.",1.0,"The customer may accept adding the product [CHANYI Mens 3D Print t-shirts Summer Top Fashion Print Lion Tiger Wolf T Shirt Men/Women Animal 3D T Shirt Casual Hip Hop Tee Cool Mens Clothing] as an extra because it offers a similar style and design to the product they already added to their basket. They have shown an interest in 3D print t-shirts and the animal theme, making this additional product a complementary choice for their purchase.",1.0,"The customer might accept the offer to add the Mens Hawaiian Shirt 3D Print Casual Button Down Beach Holiday Aloha Short Sleeve Shirt as an extra because it offers a different style and design compared to the previous product. It would provide a versatile option for the customer to wear on beach holidays or casual outings, giving them more wardrobe choices."
B07XH9CHRR,Evercade Namco Cartridge 1 (Electronic Games),https://m.media-amazon.com/images/I/61mXGdZ8aLS._AC_UY218_.jpg,https://www.amazon.co.uk/dp/B07XH9CHRR,4.5,208,19.99,False,0,PC & Video Games,Plaid Hat Games 'PH1000' PHGDOW001 Dead of Winter a Crossroads Game,1.0,Plaid Hat Games 'PH1000' PHGDOW001 Dead of Winter a Crossroads Game,Plaid Hat Games 'PH1000' PHGDOW001 Dead of Winter a Crossroads Game,"The customer has already shown interest in an electronic game cartridge, indicating a preference for gaming. Adding the Plaid Hat Games 'Dead of Winter' as an extra provides variety, as it is a highly acclaimed board game that offers a unique and immersive experience. This additional game would give the customer different gaming options and expand their entertainment choices.",1.0,The Plaid Hat Games 'PH1000' PHGDOW001 Dead of Winter a Crossroads Game is a highly acclaimed and popular board game that offers a unique and engaging experience. It's a cooperative game with a post-apocalyptic theme and features storytelling elements which can enhance the customer's gaming collection. Adding this game as an extra will provide the customer with a diverse range of gameplay options and hours of entertainment.,1.0,"The customer has shown an interest in electronic games by adding the Evercade Namco Cartridge 1 to their basket. The Plaid Hat Games 'PH1000' PHGDOW001 Dead of Winter a Crossroads Game is a highly rated and popular board game that offers a unique and immersive gaming experience. By recommending this game as an extra, the customer can enjoy the best of both electronic and board gaming, providing them with a diverse range of entertainment options."
B09PQHLTPK,"01 02 015 Cute Animals Wireless Speakers, Pet Mini Speaker Filling Sound Ultra Portable Gift for Kids(Little bear)",https://m.media-amazon.com/images/I/51vs63nrYNL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09PQHLTPK,0.0,0,9.13,False,0,Hi-Fi Speakers,"Speakers Bluetooth Wireless, V5.0 Portable Wireless Speaker with Deep Bass, HiFi Stereo Sound, Mini Round Burger Speaker for Home, Outdoor, Party, Perfect for Gifts #5",0.0,Hduacuge Wirelessly Bluetooth Speakers Mini Portable Speakers Loud Stereo Sound Built-in Mic Sound Box (White),"Speakers Bluetooth Wireless, V5.0 Portable Wireless Speaker with Deep Bass, HiFi Stereo Sound, Mini Round Burger Speaker for Home, Outdoor, Party, Perfect for Gifts #5","The customer has already chosen the [01 02 015 Cute Animals Wireless Speakers, Pet Mini Speaker Filling Sound Ultra Portable Gift for Kids(Little bear)] which aligns with their preference for a cute animal-themed speaker. Recommending a different product with a different design may not meet their specific needs and preferences.",1.0,"The Hduacuge Wirelessly Bluetooth Speakers offer loud stereo sound and a built-in mic, which will provide a more immersive audio experience. Additionally, the white color of the speakers might match well with the customer's preferences or décor. Having an extra set of speakers could also allow the customer to enjoy their favorite music in multiple rooms or share it with friends and family.",0.0,"The customer has already added the [01 02 015 Cute Animals Wireless Speakers, Pet Mini Speaker Filling Sound Ultra Portable Gift for Kids(Little bear)] to their basket, which seems to fulfill their needs for a cute and portable speaker. The additional product [Speakers Bluetooth Wireless, V5.0 Portable Wireless Speaker with Deep Bass, HiFi Stereo Sound, Mini Round Burger Speaker for Home, Outdoor, Party, Perfect for Gifts #5] may not be necessary or appealing to the customer, as it does not offer any unique features or benefits beyond what they have already chosen."
B0B3HP18PF,Vexiangni Running Shirt Men's Compression Shirt Functional Shirt Striped Details Plain Crew Neck Short Sleeve Fitness T-Shirt Performance Men's Training Shirt Sports Shirt Compression Shirts,https://m.media-amazon.com/images/I/61RPNs14pAL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0B3HP18PF,0.0,0,8.67,False,0,Sports & Outdoors,Men's Summer Linen Shirt Short Sleeve T-Shirt Men's Short Sleeve Shirt Loose Linen Shirts Oversize Sports Shirt Large Sizes Hawaiian Shirt V-Neck Casual Shirts Long Shirt M-5XL,0.0,Men's Summer Linen Shirt Short Sleeve T-Shirt Men's Short Sleeve Shirt Loose Linen Shirts Oversize Sports Shirt Large Sizes Hawaiian Shirt V-Neck Casual Shirts Long Shirt M-5XL,Men Short-Sleeve T-Shirt Crew Neck,"The customer may decline the offer because the product with the title [Men's Summer Linen Shirt Short Sleeve T-Shirt Men's Short Sleeve Shirt Loose Linen Shirts Oversize Sports Shirt Large Sizes Hawaiian Shirt V-Neck Casual Shirts Long Shirt M-5XL] is not suitable for their needs. The original product they added to their basket is a running shirt specifically designed for fitness and training activities. The recommended product, on the other hand, is a casual linen shirt which may not be what the customer is looking for. Therefore, the customer might decline the offer as it does not align with their initial intention.",0.0,"The customer might decline the offer because the suggested product is significantly different from the initial product in terms of style and material. The initial product is a compression shirt with striped details, suitable for fitness and training activities. On the other hand, the suggested product is a loose linen shirt, more appropriate for casual or beachwear. The customer's intention might be to purchase a functional shirt for fitness purposes, so the suggested product might not meet their needs.",1.0,"The customer might accept adding the product because it is a basic short-sleeve t-shirt with a crew neck, which is a versatile and essential item in any wardrobe. It can be paired with jeans, shorts, or even used as an undershirt. The simplicity of the design makes it suitable for various occasions and the plain style allows for easy matching with other clothing. Additionally, having a basic t-shirt like this can provide the customer with additional options for their daily outfits."
B0C71Y8BL1,Custom Personalised Ireland Flag Keyring,https://m.media-amazon.com/images/I/61Px5jfs2qL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0C71Y8BL1,0.0,0,4.99,False,0,"Handmade Clothing, Shoes & Accessories","Personalised Flower Keyring with initial charm and birthstone crystal, botanical jewellery",1.0,"Personalised Flower Keyring with initial charm and birthstone crystal, botanical jewellery","Personalised Flower Keyring with initial charm and birthstone crystal, botanical jewellery","The customer might accept the offer to add the Personalised Flower Keyring with initial charm and birthstone crystal because it complements the Custom Personalised Ireland Flag Keyring they have already chosen. The flower design, with the initial charm and birthstone crystal, adds a personalized and botanical touch to the keyring, making it a unique and meaningful accessory. The additional keyring allows the customer to have more variety and options for their keychain collection.",1.0,"The customer might accept the offer because the Personalised Flower Keyring with initial charm and birthstone crystal is a unique and personalized item that complements the Custom Personalised Ireland Flag Keyring. It allows the customer to add a touch of personal style to their keyring collection, with the initial charm and birthstone crystal adding a sentimental and personalized touch. Additionally, the botanical jewelry design of the keyring adds a stylish and trendy element that the customer may appreciate.",1.0,The customer might accept the offer as it complements their initial purchase and adds a personal touch. The personalised flower keyring with initial charm and birthstone crystal offers a unique and botanical design that is likely to appeal to the customer's taste and desire for personalized accessories.
B09YTCYDND,"Leipple Interactive Dog Toy Treat Dispensing Puppy Toys Automatic Durable Puzzle Toy Slow Feeder for Improve IQ, Reduce Boredom, Small Medium Dogs Cats (Blue)",https://m.media-amazon.com/images/I/61QT+fTJ8NL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09YTCYDND,3.7,503,15.99,False,100,Pet Supplies,Qishare Dog Toys for Aggressive Chewers/Dog Toys for Medium and Large Dogs/Interactive Dog Toys for Boredom/Tough dog toys/Durable Dog Toys/Indestructible Dog Toys for Medium and Large Dogs,1.0,Qishare Dog Toys for Aggressive Chewers/Dog Toys for Medium and Large Dogs/Interactive Dog Toys for Boredom/Tough dog toys/Durable Dog Toys/Indestructible Dog Toys for Medium and Large Dogs,Qishare Dog Toys for Aggressive Chewers/Dog Toys for Medium and Large Dogs/Interactive Dog Toys for Boredom/Tough dog toys/Durable Dog Toys/Indestructible Dog Toys for Medium and Large Dogs,"The Qishare Dog Toys for Aggressive Chewers is a great add-on option for the customer. It specifically targets aggressive chewers and is suitable for medium and large dogs, which matches the customer's needs. This extra toy will provide additional durability and toughness, ensuring the customer's pet remains entertained and mentally stimulated for longer periods of time. The customer might accept this offer to give their pet more variety and to cater to its specific chewing behavior.",1.0,"The Qishare Dog Toys for Aggressive Chewers would be a good addition to the customer's purchase. Since they have a small or medium-sized dog, the Leipple Interactive Dog Toy may not be strong enough to withstand their strong chewing. The Qishare Dog Toys are specifically designed for aggressive chewers and are made of durable materials that can withstand the dog's chewing. This will ensure that the customer's dog remains engaged and entertained for a longer period of time without the risk of destroying the toy. Additionally, the interactive nature of the toy will help reduce the dog's boredom and provide mental stimulation. Overall, adding the Qishare Dog Toys to their purchase would be a great choice.",1.0,"The customer might accept the offer because the Qishare Dog Toys for Aggressive Chewers is specifically designed for medium and large dogs. This toy can withstand aggressive chewing, making it a durable and long-lasting option for the customer's pet. Additionally, since the customer already added a treat-dispensing puzzle toy to their basket, they might be interested in adding an interactive toy that can provide mental stimulation and help alleviate boredom for their pet."
B0CJ7WSG46,Bicycle Helmet Camera Sports DV Camera Continuous Photography H68A 1080P HD Video Recording 12MP Photo Pixels Full Body Waterproof Bicycle Recording (Dark Gray),https://m.media-amazon.com/images/I/61jWyvGamvL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CJ7WSG46,0.0,0,39.08,False,0,Action Cameras,"Outdoor Helmet Sports Camera, for Bike Bicycle Motorbike, 1080P HD WiFi DV Video Recorder, with Rotatable Bracket Mount, 120 Degree Wide Angle, Long Standby…",1.0,"Outdoor Helmet Sports Camera, for Bike Bicycle Motorbike, 1080P HD WiFi DV Video Recorder, with Rotatable Bracket Mount, 120 Degree Wide Angle, Long Standby…","Outdoor Helmet Sports Camera, for Bike Bicycle Motorbike, 1080P HD WiFi DV Video Recorder, with Rotatable Bracket Mount, 120 Degree Wide Angle, Long Standby…","The recommended outdoor helmet sports camera offers additional features such as WiFi connectivity, a rotatable bracket mount, a wider angle, and longer standby time compared to the initial product. These features provide more convenience and flexibility for recording adventures while biking, making it a valuable addition to the customer's purchase.",1.0,"The customer might accept adding the Outdoor Helmet Sports Camera as an extra because it offers additional features such as WiFi connectivity, a rotatable bracket mount, a wider viewing angle, and long standby time. These added functionalities can enhance the customer's experience and provide them with more versatility in their recordings.",1.0,"The customer may accept adding the Outdoor Helmet Sports Camera as an extra because it offers additional features that complement the Bicycle Helmet Camera they have already selected. The WiFi DV video recording capability allows for seamless sharing and connectivity, and the rotatable bracket mount offers versatile filming angles. Moreover, the 120-degree wide-angle lens captures a broader field of view, enhancing the overall video recording experience. The customer may appreciate the added convenience and flexibility that this extra camera provides."
B07M7X99TB,80th birthday badge made in 1943 birthday year 80 pin badge button,https://m.media-amazon.com/images/I/41ixX-oyr7L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B07M7X99TB,5.0,2,3.15,False,0,Handmade Jewellery,925 SAS Pin Badge Solid Sterling STAMPED 925 Silver 5.42g 40 X 20 mm,0.0,"Acoustic or Spanish Guitar Cufflinks, Lapel Pin, Earrings or Tie Bar (Lapel Pin)",925 SAS Pin Badge Solid Sterling STAMPED 925 Silver 5.42g 40 X 20 mm,The customer's initial purchase is focused on celebrating their 80th birthday. Adding a silver pin badge might deviate from their original intent and may not align with their preferences. It's best to stick with products that directly complement the occasion of their birthday.,0.0,"The customer might decline your offer because the product they added to their basket is related to an 80th birthday, while the suggested product is unrelated and is focused on guitar-themed cufflinks and accessories. Since the customer's intention seems to be specifically for the 80th birthday badge, they might not be interested in adding a guitar-themed product which doesn't align with their initial purchase.",0.0,"The customer may decline the offer to add the [925 SAS Pin Badge Solid Sterling STAMPED 925 Silver 5.42g 40 X 20 mm] product as an extra because it does not relate to the initial product of interest, which is the [80th birthday badge made in 1943 birthday year 80 pin badge button]. The customer is specifically looking for a badge related to their 80th birthday in 1943, and the additional product you mentioned is a different type of badge made of sterling silver with no relevance to their specific occasion."
B09YCZQL29,"ZOYLINK 22 PCS Bubble Wand, Bubble Wands for Kids Multipack Random Color Giant Bubble Wands Kids Garden Toys Summer Outdoor Activities Large Bubbles Maker Wand for Children",https://m.media-amazon.com/images/I/71NqSwKey2L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B09YCZQL29,3.7,43,12.36,False,0,Sports Toys & Outdoor,Pack of 6 Childrens Touchable Wand Bubbles Favours Kids Party Bag Fillers Toys,1.0,Pack of 6 Childrens Touchable Wand Bubbles Favours Kids Party Bag Fillers Toys,Pack of 6 Childrens Touchable Wand Bubbles Favours Kids Party Bag Fillers Toys,"The customer might accept adding the pack of 6 Childrens Touchable Wand Bubbles Favours because it provides additional variety and fun for the kids. Having multiple options for bubbles will keep the children engaged in the outdoor activities for longer periods. It also acts as a great party favor or filler for kids' party bags, providing value for money. Overall, the extra pack of touchable wand bubbles enhances the overall outdoor bubble playing experience for the children.",1.0,"The additional product offers more variety and entertainment for the customer's outdoor activities. It is a pack of 6 touchable wand bubbles, which can provide a different experience compared to the giant bubble wands. This will give the children more options for play and make their outdoor activities even more enjoyable.",1.0,"The customer might accept adding the product [Pack of 6 Childrens Touchable Wand Bubbles Favours Kids Party Bag Fillers Toys] as an extra because it offers a pack of 6 wand bubbles, which provides more options for kids to play with. This can enhance the outdoor activity experience, and since it is specifically designed as party bag fillers, it can be a great addition for any kid's summer party or gathering."
B0BF5YTZVF,"VAAX Sweater for Women, Ladies Christmas Jumper Red Geometry Christmas Elk Casual Sweatshirt Crew Neck Long Sleeve Pullover Tops Blouse Loose Sweater T Shirt for Xmas",https://m.media-amazon.com/images/I/618Z60XnvSL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0BF5YTZVF,0.0,0,41.99,False,0,Sports & Outdoors,"Women Blouse Tops Sale Clearance,2022 Pullover Christmas Sweater Autumn And Winter Plush Printed Sweatshirt Christmas Jumper Funny Graphic Reindeer Santa Xmas Jumper Sweatshirt Ladies UK Size",1.0,"Women Blouse Tops Sale Clearance,2022 Pullover Christmas Sweater Autumn And Winter Plush Printed Sweatshirt Christmas Jumper Funny Graphic Reindeer Santa Xmas Jumper Sweatshirt Ladies UK Size",Men Short-Sleeve T-Shirt Crew Neck,"The customer might accept the offer because the additional product is a Christmas-themed sweater similar to the one they added to their basket. It features a funny graphic design and is made of plush fabric, making it a cozy and festive option for the holiday season.",1.0,"The customer might accept the offer because the recommended product is also a Christmas sweater, and the customer has already shown an interest in purchasing a Christmas-themed clothing item. Additionally, the recommended sweater is on sale, making it a more attractive option for the customer to add to their basket.",0.0,The customer is specifically looking for a women's sweater with a Christmas theme. The suggested product is a men's t-shirt with a different design and style. It might not meet the customer's requirements for a Christmas jumper.
